IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-09-25,VIAO,VIA optronics AG,15,13.2,-0.12
2020-09-24,TSHA,Taysha Gene Therapies,20,24.67,0.2335
2020-09-24,PDAC,Peridot Acquisition,10,10.76,0.076
2020-09-23,ACTC,ArcLight Clean Transition,10,18.25,0.825
2020-09-23,CRSR,Corsair Gaming,17,34.25,1.0147
2020-09-23,VIH,VPC Impact Acquisition,10,15.07,0.507
2020-09-23,GDRX,GoodRx Holdings,33,37.42,0.1339
2020-09-23,LSF,Laird Superfood,22,36.37,0.6532
2020-09-23,ASPL,Aspirational Consumer Lifestyle Corp.,10,10.37,0.037
2020-09-23,BSY,Bentley Systems,22,43.86,0.9936
2020-09-22,FCAC,Falcon Capital Acquisition,10,10.21,0.021
2020-09-22,PMVC,PMV Consumer Acquisition,10,9.88,-0.012
2020-09-18,CMPS,COMPASS Pathways,17,42.76,1.5153
2020-09-18,AHAC,Alpha Healthcare Acquisition,10,10.88,0.088
2020-09-18,U,Unity Software,52,108.98,1.0958
2020-09-18,VTRU,Vitru,16,14.7,-0.0813
2020-09-18,ATHA,Athira Pharma,17,20.66,0.2153
2020-09-18,NMMC,North Mountain Merger,10,10.15,0.015
2020-09-17,STWO,ACON S2 Acquisition,10,9.98,-0.002
2020-09-17,DYN,Dyne Therapeutics,19,16.57,-0.1279
2020-09-17,AMWL,Amwell,18,21.04,0.1689
2020-09-17,SUMO,Sumo Logic,22,21,-0.0455
2020-09-17,OACB,Oaktree Acquisition II,10,10.24,0.024
2020-09-17,PTVE,Pactiv Evergreen,14,16.82,0.2014
2020-09-17,RTP,Reinvent Technology Partners,10,10.93,0.093
2020-09-17,BNL,Broadstone Net Lease,17,18.35,0.0794
2020-09-16,EQD,Equity Distribution Acquisition,10,10.03,0.003
2020-09-16,STEP,StepStone Group,18,30.96,0.72
2020-09-16,SNOW,Snowflake,120,230.3,0.9192
2020-09-16,ENPC,Executive Network Partnering,25,24.4,-0.024
2020-09-16,MTCR,Metacrine,13,8.04,-0.3815
2020-09-16,FROG,JFrog,44,47.55,0.0807
2020-09-15,SBG,Sandbridge Acquisition,10,9.97,-0.003
2020-09-15,OM,Outset Medical,27,48.78,0.8067
